,MFACTOR,STATE,ST_CASE,VEH_NO
11807,0,12,121862,1
11808,0,12,121862,2
11809,0,12,121863,1
11810,0,12,121863,2
11811,0,12,121864,1
11812,0,12,121866,1
11813,0,12,121867,1
11814,99,12,121868,1
11815,0,12,121869,1
11816,0,12,121870,1
11817,99,12,121871,1
11818,99,12,121871,2
11819,0,12,121872,1
11820,99,12,121873,1
11821,0,12,121874,1
11822,0,12,121875,1
11823,0,12,121877,1
11824,0,12,121878,1
11825,0,12,121879,1
11826,0,12,121879,2
11827,0,12,121880,1
11828,0,12,121881,1
11829,0,12,121882,1
11830,0,12,121883,1
11831,0,12,121884,1
11832,0,12,121884,2
11833,0,12,121885,1
11834,0,12,121886,1
11835,0,12,121886,2
11836,0,12,121887,1
11837,0,12,121888,1
11838,0,12,121890,1
11839,0,12,121891,1
11840,0,12,121892,1
11841,0,12,121892,2
11842,0,12,121893,1
11843,0,12,121893,2
11844,0,12,121894,1
11845,0,12,121895,1
11846,0,12,121895,2
11847,99,12,121896,1
11848,99,12,121896,2
11849,0,12,121897,1
11850,99,12,121899,1
11851,0,12,121900,1
11852,0,12,121900,2
11853,0,12,121901,1
11854,0,12,121902,1
11855,0,12,121902,2
11856,0,12,121902,3
11857,0,12,121903,1
11858,0,12,121904,1
11859,0,12,121905,1
11860,0,12,121905,2
11861,0,12,121906,1
11862,0,12,121906,2
11863,0,12,121907,1
11864,0,12,121908,1
11865,0,12,121908,2
11866,0,12,121909,1
11867,0,12,121910,1
11868,1,12,121911,1
11869,0,12,121913,1
11870,0,12,121913,2
11871,0,12,121913,3
11872,0,12,121914,1
11873,0,12,121914,2
11874,0,12,121915,1
11875,0,12,121915,2
11876,0,12,121916,1
11877,0,12,121916,2
11878,99,12,121917,1
11879,0,12,121918,1
11880,99,12,121919,1
11881,0,12,121920,1
11882,0,12,121921,1
11883,99,12,121922,1
11884,99,12,121922,2
11885,0,12,121923,1
11886,0,12,121924,1
11887,0,12,121925,1
11888,0,12,121925,2
11889,0,12,121925,3
11890,0,12,121926,1
11891,0,12,121927,1
11892,0,12,121927,2
11893,99,12,121928,1
11894,99,12,121929,1
11895,0,12,121930,1
11896,1,12,121931,1
11897,0,12,121932,1
11898,0,12,121933,1
11899,0,12,121933,2
11900,0,12,121934,1
11901,0,12,121935,1
11902,0,12,121935,2
11903,0,12,121936,1
11904,0,12,121937,1
11905,0,12,121938,1
11906,0,12,121938,2
11907,0,12,121939,1
11908,0,12,121940,1
11909,0,12,121941,1
11910,0,12,121941,2
11911,0,12,121942,1
11912,0,12,121943,1
11913,0,12,121944,1
11914,0,12,121944,2
11915,0,12,121945,1
11916,0,12,121945,2
11917,0,12,121946,1
11918,0,12,121947,1
11919,0,12,121947,2
11920,0,12,121947,3
11921,0,12,121947,4
11922,0,12,121947,5
11923,0,12,121948,1
11924,0,12,121948,2
11925,0,12,121949,1
11926,0,12,121950,1
11927,0,12,121951,1
11928,0,12,121951,2
11929,0,12,121951,3
11930,0,12,121952,1
11931,1,12,121952,2
11932,2,12,121952,2
11933,0,12,121953,1
11934,0,12,121953,2
11935,0,12,121954,1
11936,0,12,121954,2
11937,0,12,121955,1
11938,0,12,121955,3
11939,99,12,121956,1
11940,0,12,121956,2
11941,0,12,121957,1
11942,0,12,121957,2
11943,0,12,121958,1
11944,0,12,121959,1
11945,0,12,121959,2
11946,0,12,121960,1
11947,0,12,121960,2
11948,0,12,121961,1
11949,0,12,121961,2
11950,0,12,121962,1
11951,99,12,121963,1
11952,99,12,121963,2
11953,0,12,121964,1
11954,0,12,121965,1
11955,0,12,121965,2
11956,0,12,121966,1
11957,0,12,121966,2
11958,0,12,121967,1
11959,0,12,121969,1
11960,0,12,121969,2
11961,0,12,121970,1
11962,0,12,121970,2
11963,0,12,121971,1
11964,0,12,121972,1
11965,0,12,121972,2
11966,0,12,121973,1
11967,99,12,121974,1
11968,99,12,121974,2
11969,0,12,121975,1
11970,0,12,121975,2
11971,0,12,121976,1
11972,0,12,121976,2
11973,0,12,121976,3
11974,0,12,121976,4
11975,0,12,121977,1
11976,0,12,121978,1
11977,0,12,121979,1
11978,0,12,121979,2
11979,98,12,121980,1
11980,0,12,121981,1
11981,0,12,121982,1
11982,0,12,121982,2
11983,0,12,121982,3
11984,0,12,121983,1
11985,0,12,121984,1
11986,0,12,121984,2
11987,0,12,121984,3
11988,0,12,121984,4
11989,0,12,121984,5
11990,0,12,121984,6
11991,0,12,121984,7
11992,0,12,121985,1
11993,99,12,121986,1
11994,0,12,121987,1
11995,0,12,121987,2
11996,0,12,121988,1
11997,0,12,121988,2
11998,0,12,121990,1
11999,0,12,121990,2
12000,0,12,121991,1
12001,0,12,121991,2
12002,0,12,121991,3
12003,0,12,121992,1
12004,0,12,121993,1
12005,0,12,121994,1
12006,0,12,121994,2
12007,0,12,121995,1
12008,0,12,121996,1
12009,0,12,121996,2
12010,99,12,121998,1
12011,0,12,121999,1
12012,0,12,121999,2
12013,0,12,122000,1
12014,0,12,122000,2
12015,0,12,122001,1
12016,0,12,122002,1
12017,0,12,122003,1
12018,0,12,122004,1
12019,0,12,122005,1
12020,0,12,122006,1
12021,0,12,122006,2
12022,0,12,122006,3
12023,0,12,122007,1
12024,0,12,122008,1
12025,0,12,122008,2
12026,0,12,122008,3
12027,0,12,122008,4
12028,0,12,122008,5
12029,0,12,122009,1
12030,0,12,122010,1
12031,0,12,122011,1
12032,99,12,122012,1
12033,0,12,122013,1
12034,0,12,122014,1
12035,0,12,122014,2
12036,0,12,122015,1
12037,0,12,122016,1
12038,0,12,122017,1
12039,0,12,122017,2
12040,0,12,122018,1
12041,0,12,122018,2
12042,99,12,122019,1
12043,0,12,122020,1
12044,0,12,122021,1
12045,0,12,122022,1
12046,0,12,122022,2
12047,0,12,122023,1
12048,0,12,122023,2
12049,0,12,122024,1
12050,0,12,122024,2
12051,0,12,122025,1
12052,0,12,122025,2
12053,0,12,122026,1
12054,0,12,122026,2
12055,0,12,122027,1
12056,0,12,122027,2
12057,99,12,122028,1
12058,0,12,122030,1
12059,0,12,122031,1
12060,0,12,122031,2
12061,0,12,122032,1
12062,0,12,122032,2
12063,0,12,122033,1
12064,0,12,122033,2
12065,0,12,122034,1
12066,0,12,122035,1
12067,0,12,122035,2
12068,0,12,122036,1
12069,0,12,122037,1
12070,0,12,122038,1
12071,0,12,122038,2
12072,0,12,122039,1
12073,0,12,122040,1
12074,0,12,122040,2
12075,0,12,122041,1
12076,0,12,122042,1
12077,0,12,122043,1
12078,0,12,122044,1
12079,0,12,122045,1
12080,0,12,122046,1
12081,0,12,122047,1
12082,99,12,122048,1
12083,99,12,122049,1
12084,0,12,122049,2
12085,99,12,122050,1
12086,99,12,122050,2
12087,0,12,122051,1
12088,0,12,122052,1
12089,0,12,122053,1
12090,0,12,122054,1
12091,0,12,122054,2
12092,0,12,122055,1
12093,99,12,122056,1
12094,99,12,122056,2
12095,0,12,122056,3
12096,0,12,122057,1
12097,0,12,122057,2
12098,0,12,122057,3
12099,0,12,122058,1
12100,0,12,122059,1
12101,0,12,122060,1
12102,0,12,122061,1
12103,0,12,122061,2
12104,0,12,122062,1
12105,0,12,122063,1
12106,0,12,122064,1
12107,0,12,122064,2
12108,0,12,122065,1
12109,0,12,122065,2
12110,99,12,122067,1
12111,0,12,122067,2
12112,0,12,122068,1
12113,0,12,122069,1
12114,0,12,122070,1
12115,0,12,122070,2
12116,0,12,122071,1
12117,0,12,122071,2
12118,0,12,122072,1
12119,0,12,122073,1
12120,0,12,122073,2
12121,0,12,122074,1
12122,0,12,122075,1
12123,0,12,122075,2
12124,0,12,122076,1
12125,0,12,122076,2
12126,0,12,122077,1
12127,0,12,122078,1
12128,0,12,122079,1
12129,98,12,122079,2
12130,0,12,122080,1
12131,0,12,122081,1
12132,0,12,122081,2
12133,0,12,122082,1
12134,0,12,122083,1
12135,99,12,122084,1
12136,0,12,122085,1
12137,0,12,122086,1
12138,0,12,122087,1
12139,0,12,122088,1
12140,0,12,122088,2
12141,0,12,122089,1
12142,99,12,122091,1
12143,0,12,122092,1
12144,0,12,122092,2
12145,0,12,122092,3
12146,0,12,122093,1
12147,0,12,122093,2
12148,0,12,122094,1
12149,1,12,122095,1
12150,0,12,122096,1
12151,0,12,122096,2
12152,0,12,122097,1
12153,0,12,122098,1
12154,0,12,122098,2
12155,99,12,122099,1
12156,0,12,122100,1
12157,0,12,122100,2
12158,0,12,122101,1
12159,7,12,122101,2
12160,8,12,122101,2
12161,0,12,122102,1
12162,0,12,122102,2
12163,0,12,122102,3
12164,0,12,122103,1
12165,99,12,122104,1
12166,99,12,122104,2
12167,0,12,122105,1
12168,7,12,122106,1
12169,8,12,122106,1
12170,9,12,122106,1
12171,0,12,122107,1
12172,0,12,122108,1
12173,98,12,122109,1
12174,0,12,122110,1
12175,0,12,122110,2
12176,0,12,122111,1
12177,0,12,122111,2
12178,0,12,122111,3
12179,0,12,122112,1
12180,0,12,122113,1
12181,0,12,122113,2
12182,0,12,122114,1
12183,0,12,122114,2
12184,0,12,122115,1
12185,0,12,122115,2
12186,0,12,122116,1
12187,99,12,122117,1
12188,0,12,122117,2
12189,0,12,122118,1
12190,0,12,122119,1
12191,0,12,122119,2
12192,0,12,122119,3
12193,0,12,122119,4
12194,0,12,122120,1
12195,0,12,122121,1
12196,0,12,122122,1
12197,0,12,122123,1
12198,0,12,122123,2
12199,1,12,122124,1
12200,0,12,122124,2
12201,0,12,122125,1
12202,0,12,122125,2
12203,0,12,122126,1
12204,0,12,122126,2
12205,0,12,122127,1
12206,0,12,122127,2
12207,0,12,122128,1
12208,0,12,122128,2
12209,0,12,122129,1
12210,0,12,122129,2
12211,99,12,122130,1
12212,0,12,122131,1
12213,0,12,122131,2
12214,0,12,122131,3
12215,0,12,122132,1
12216,99,12,122133,1
12217,0,12,122134,1
12218,99,12,122136,1
12219,99,12,122136,2
12220,0,12,122137,1
12221,0,12,122138,1
12222,0,12,122139,1
12223,0,12,122139,2
12224,0,12,122139,3
12225,0,12,122140,1
12226,0,12,122140,2
12227,0,12,122141,1
12228,0,12,122142,1
12229,0,12,122143,1
12230,0,12,122143,2
12231,0,12,122144,1
12232,0,12,122145,1
12233,0,12,122146,1
12234,0,12,122146,2
12235,0,12,122147,1
12236,0,12,122147,2
12237,0,12,122148,1
12238,0,12,122149,1
12239,0,12,122149,2
12240,7,12,122150,1
12241,8,12,122150,1
12242,0,12,122150,2
12243,0,12,122151,1
12244,0,12,122151,3
12245,0,12,122152,1
12246,0,12,122152,2
12247,0,12,122153,1
12248,99,12,122154,1
12249,0,12,122155,1
12250,0,12,122155,2
12251,0,12,122156,1
12252,0,12,122157,1
12253,0,12,122158,1
12254,0,12,122159,1
12255,0,12,122161,1
12256,0,12,122161,2
12257,0,12,122162,1
12258,0,12,122162,2
12259,0,12,122163,1
12260,0,12,122164,1
12261,0,12,122164,2
12262,0,12,122165,1
12263,0,12,122166,1
12264,0,12,122167,1
12265,0,12,122168,1
12266,0,12,122169,1
12267,0,12,122170,1
12268,0,12,122170,2
12269,0,12,122171,1
12270,0,12,122172,1
12271,0,12,122173,1
12272,0,12,122174,1
12273,0,12,122175,1
12274,0,12,122175,2
12275,0,12,122175,3
12276,0,12,122175,4
12277,0,12,122175,5
12278,0,12,122176,1
12279,0,12,122177,1
12280,0,12,122177,2
12281,0,12,122178,1
12282,0,12,122179,1
12283,0,12,122179,2
12284,0,12,122180,1
12285,0,12,122180,2
12286,0,12,122180,3
12287,0,12,122181,1
12288,0,12,122182,1
12289,0,12,122183,1
12290,0,12,122183,2
12291,0,12,122183,3
12292,0,12,122184,1
12293,99,12,122184,2
12294,0,12,122185,1
12295,0,12,122186,1
12296,0,12,122187,1
12297,0,12,122187,2
12298,0,12,122187,3
12299,0,12,122187,4
12300,0,12,122187,5
12301,0,12,122188,1
12302,0,12,122190,1
12303,0,12,122191,1
12304,0,12,122191,2
12305,0,12,122193,1
12306,0,12,122193,2
12307,0,12,122194,1
